0,1,2,3,4
reporting study abroad studen,ts please seFe UthLiLs -lTinIMk. E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",671,731,,
"Other first-year, degree-seeking",7,3,,
All other degree-seeking,"1,863","1,911",,1
Total degree-seeking,"2,541","2,645",0,1
"All other undergraduates
enrolled in credit courses",6,6,11,12
Total undergraduates,"2,547","2,651",11,13
Graduate,,,,
"Degree-seeking, first-time","1,987","2,413",200,359
All other degree-seeking,"4,036","4,089",196,230
"All other graduates enrolled in
credit courses",40,41,184,221
Total graduate,"6,063","6,543",580,810
Total all students,,,,
