0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",1477,"1,768",4,0.0
"Other first-year, degree-seeking",62,46,1,0.0
All other degree-seeking,"5,202","6,136",33,12.0
Total degree-seeking,"6,741","7,950",38,12.0
"All other undergraduates
enrolled in credit courses",2,0,0,0.0
Total undergraduates,"6,743","7,950",38,12.0
Graduate,,,,
"Degree-seeking, first-time",1639,1409,152,163.0
All other degree-seeking,2736,2465,150,128.0
"All other graduates enrolled in
credit courses",10,23,0,2.0
Total graduate,4385,3897,302,293.0
Total all students,"11,128","11,847",340,305.0
